# created: 2018-06-22T22:31:35+00:00
# date,epoch,region,CSVfileName,players
2018-06-22T22:31:29+00:00,1529706689216,euw,csv_1529706689216.log,1000
2018-06-22T22:31:35+00:00,1529706695068,www,csv_1529706695068.log,1000
2018-06-22T22:31:45+00:00,1529706705449,jp,csv_1529706705449.log,1000
2018-06-22T22:31:51+00:00,1529706711049,na,csv_1529706711049.log,1000
2018-06-22T22:31:56+00:00,1529706716702,eune,csv_1529706716702.log,1000
2018-06-22T22:32:05+00:00,1529706725546,oce,csv_1529706725546.log,1000
2018-06-22T22:32:11+00:00,1529706731726,br,csv_1529706731726.log,1000
2018-06-22T22:32:18+00:00,1529706738927,las,csv_1529706738927.log,1000
2018-06-22T22:32:26+00:00,1529706746035,lan,csv_1529706746035.log,1000
2018-06-22T22:32:32+00:00,1529706752559,ru,csv_1529706752559.log,1000
2018-06-22T22:32:39+00:00,1529706759176,tr,csv_1529706759176.log,1000
2018-06-23T00:00:01+00:00,1529712001764,euw,csv_1529712001764.log,1000
2018-06-23T00:00:09+00:00,1529712009809,www,csv_1529712009809.log,1000
2018-06-23T00:00:19+00:00,1529712019713,jp,csv_1529712019713.log,1000
2018-06-23T00:00:28+00:00,1529712028303,na,csv_1529712028303.log,1000
2018-06-23T00:00:35+00:00,1529712035288,eune,csv_1529712035288.log,1000
2018-06-23T00:00:43+00:00,1529712043386,oce,csv_1529712043386.log,1000
2018-06-23T00:00:50+00:00,1529712050269,br,csv_1529712050269.log,1000
2018-06-23T00:00:59+00:00,1529712059233,las,csv_1529712059233.log,1000
2018-06-23T00:01:08+00:00,1529712068095,lan,csv_1529712068095.log,1000
2018-06-23T00:01:15+00:00,1529712075856,ru,csv_1529712075856.log,1000
2018-06-23T00:01:23+00:00,1529712083708,tr,csv_1529712083708.log,1000
2018-06-23T03:00:01+00:00,1529722801847,euw,csv_1529722801847.log,1000
2018-06-23T03:00:11+00:00,1529722811972,www,csv_1529722811972.log,1000
2018-06-23T03:00:21+00:00,1529722821903,jp,csv_1529722821903.log,1000
2018-06-23T03:00:29+00:00,1529722829541,na,csv_1529722829541.log,1000
2018-06-23T03:00:36+00:00,1529722836572,eune,csv_1529722836572.log,1000
2018-06-23T03:00:44+00:00,1529722844748,oce,csv_1529722844748.log,1000
2018-06-23T03:00:52+00:00,1529722852430,br,csv_1529722852430.log,1000
2018-06-23T03:00:59+00:00,1529722859966,las,csv_1529722859966.log,1000
2018-06-23T03:01:08+00:00,1529722868604,lan,csv_1529722868604.log,1000
2018-06-23T03:01:16+00:00,1529722876258,ru,csv_1529722876258.log,1000
2018-06-23T03:01:24+00:00,1529722884457,tr,csv_1529722884457.log,1000
2018-06-23T06:00:01+00:00,1529733601758,euw,csv_1529733601758.log,1000
2018-06-23T06:00:09+00:00,1529733609026,www,csv_1529733609026.log,1000
2018-06-23T06:00:20+00:00,1529733620819,jp,csv_1529733620819.log,1000
2018-06-23T06:00:28+00:00,1529733628009,na,csv_1529733628009.log,1000
2018-06-23T06:00:35+00:00,1529733635850,eune,csv_1529733635850.log,1000
2018-06-23T06:00:44+00:00,1529733644035,oce,csv_1529733644035.log,1000
2018-06-23T06:00:51+00:00,1529733651811,br,csv_1529733651811.log,1000
2018-06-23T06:00:59+00:00,1529733659595,las,csv_1529733659595.log,1000
2018-06-23T06:01:07+00:00,1529733667703,lan,csv_1529733667703.log,1000
2018-06-23T06:01:14+00:00,1529733674234,ru,csv_1529733674234.log,1000
2018-06-23T06:01:21+00:00,1529733681493,tr,csv_1529733681493.log,1000
2018-06-23T09:00:01+00:00,1529744401322,euw,csv_1529744401322.log,1000
2018-06-23T09:00:06+00:00,1529744406777,www,csv_1529744406777.log,1000
2018-06-23T09:00:17+00:00,1529744417483,jp,csv_1529744417483.log,1000
2018-06-23T09:00:24+00:00,1529744424899,na,csv_1529744424899.log,1000
2018-06-23T09:00:32+00:00,1529744432474,eune,csv_1529744432474.log,1000
2018-06-23T09:00:39+00:00,1529744439894,oce,csv_1529744439894.log,1000
2018-06-23T09:00:46+00:00,1529744446659,br,csv_1529744446659.log,1000
2018-06-23T09:00:55+00:00,1529744455057,las,csv_1529744455057.log,1000
2018-06-23T09:01:01+00:00,1529744461840,lan,csv_1529744461840.log,1000
2018-06-23T09:01:09+00:00,1529744469830,ru,csv_1529744469830.log,1000
2018-06-23T09:01:18+00:00,1529744478626,tr,csv_1529744478626.log,1000
2018-06-23T12:00:01+00:00,1529755201943,euw,csv_1529755201943.log,1000
2018-06-23T12:00:09+00:00,1529755209487,www,csv_1529755209487.log,1000
2018-06-23T12:00:22+00:00,1529755222207,jp,csv_1529755222207.log,1000
2018-06-23T12:00:30+00:00,1529755230775,na,csv_1529755230775.log,1000
2018-06-23T12:00:38+00:00,1529755238308,eune,csv_1529755238308.log,1000
2018-06-23T12:00:46+00:00,1529755246363,oce,csv_1529755246363.log,1000
2018-06-23T12:00:54+00:00,1529755254259,br,csv_1529755254259.log,1000
2018-06-23T12:01:02+00:00,1529755262009,las,csv_1529755262009.log,1000
2018-06-23T12:01:11+00:00,1529755271390,lan,csv_1529755271390.log,1000
2018-06-23T12:01:18+00:00,1529755278980,ru,csv_1529755278980.log,1000
2018-06-23T12:01:25+00:00,1529755285622,tr,csv_1529755285622.log,1000
2018-06-23T15:00:01+00:00,1529766001700,euw,csv_1529766001700.log,1000
2018-06-23T15:00:09+00:00,1529766009134,www,csv_1529766009134.log,1000
2018-06-23T15:00:19+00:00,1529766019930,jp,csv_1529766019930.log,1000
2018-06-23T15:00:27+00:00,1529766027874,na,csv_1529766027874.log,1000
2018-06-23T15:00:36+00:00,1529766036239,eune,csv_1529766036239.log,1000
2018-06-23T15:00:44+00:00,1529766044350,oce,csv_1529766044350.log,1000
2018-06-23T15:00:52+00:00,1529766052513,br,csv_1529766052513.log,1000
2018-06-23T15:01:00+00:00,1529766060909,las,csv_1529766060909.log,1000
2018-06-23T15:01:08+00:00,1529766068960,lan,csv_1529766068960.log,1000
2018-06-23T15:01:16+00:00,1529766076400,ru,csv_1529766076400.log,1000
2018-06-23T15:01:33+00:00,1529766093557,tr,csv_1529766093557.log,1000
2018-06-23T18:00:01+00:00,1529776801916,euw,csv_1529776801916.log,1000
2018-06-23T18:00:08+00:00,1529776808754,www,csv_1529776808754.log,1000
2018-06-23T18:00:19+00:00,1529776819827,jp,csv_1529776819827.log,1000
2018-06-23T18:00:27+00:00,1529776827585,na,csv_1529776827585.log,1000
2018-06-23T18:00:35+00:00,1529776835457,eune,csv_1529776835457.log,1000
2018-06-23T18:00:43+00:00,1529776843459,oce,csv_1529776843459.log,1000
2018-06-23T18:00:50+00:00,1529776850898,br,csv_1529776850898.log,1000
2018-06-23T18:00:59+00:00,1529776859797,las,csv_1529776859797.log,1000
2018-06-23T18:01:06+00:00,1529776866475,lan,csv_1529776866475.log,1000
2018-06-23T18:01:14+00:00,1529776874404,ru,csv_1529776874404.log,1000
2018-06-23T18:01:21+00:00,1529776881920,tr,csv_1529776881920.log,1000
2018-06-23T21:00:01+00:00,1529787601918,euw,csv_1529787601918.log,1000
2018-06-23T21:00:10+00:00,1529787610814,www,csv_1529787610814.log,1000
2018-06-23T21:00:21+00:00,1529787621289,jp,csv_1529787621289.log,1000
2018-06-23T21:00:27+00:00,1529787627772,na,csv_1529787627772.log,1000
2018-06-23T21:00:35+00:00,1529787635179,eune,csv_1529787635179.log,1000
2018-06-23T21:00:42+00:00,1529787642721,oce,csv_1529787642721.log,1000
2018-06-23T21:00:50+00:00,1529787650343,br,csv_1529787650343.log,1000
2018-06-23T21:00:58+00:00,1529787658556,las,csv_1529787658556.log,1000
2018-06-23T21:01:08+00:00,1529787668015,lan,csv_1529787668015.log,1000
2018-06-23T21:01:15+00:00,1529787675225,ru,csv_1529787675225.log,1000
2018-06-23T21:01:22+00:00,1529787682593,tr,csv_1529787682593.log,1000
2018-06-24T00:00:01+00:00,1529798401699,euw,csv_1529798401699.log,1000
2018-06-24T00:00:09+00:00,1529798409648,www,csv_1529798409648.log,1000
2018-06-24T00:00:19+00:00,1529798419499,jp,csv_1529798419499.log,1000
2018-06-24T00:00:28+00:00,1529798428091,na,csv_1529798428091.log,1000
2018-06-24T00:00:35+00:00,1529798435495,eune,csv_1529798435495.log,1000
2018-06-24T00:00:42+00:00,1529798442997,oce,csv_1529798442997.log,1000
2018-06-24T00:00:50+00:00,1529798450198,br,csv_1529798450198.log,1000
2018-06-24T00:00:58+00:00,1529798458570,las,csv_1529798458570.log,1000
2018-06-24T00:01:06+00:00,1529798466462,lan,csv_1529798466462.log,1000
2018-06-24T00:01:13+00:00,1529798473310,ru,csv_1529798473310.log,1000
2018-06-24T00:01:21+00:00,1529798481631,tr,csv_1529798481631.log,1000
2018-06-24T03:00:02+00:00,1529809202043,euw,csv_1529809202043.log,1000
2018-06-24T03:00:09+00:00,1529809209335,www,csv_1529809209335.log,1000
2018-06-24T03:00:19+00:00,1529809219573,jp,csv_1529809219573.log,1000
2018-06-24T03:00:26+00:00,1529809226617,na,csv_1529809226617.log,1000
2018-06-24T03:00:34+00:00,1529809234607,eune,csv_1529809234607.log,1000
2018-06-24T03:00:42+00:00,1529809242178,oce,csv_1529809242178.log,1000
2018-06-24T03:00:50+00:00,1529809250888,br,csv_1529809250888.log,1000
2018-06-24T03:00:59+00:00,1529809259105,las,csv_1529809259105.log,1000
2018-06-24T03:01:08+00:00,1529809268206,lan,csv_1529809268206.log,1000
2018-06-24T03:01:15+00:00,1529809275834,ru,csv_1529809275834.log,1000
2018-06-24T03:01:24+00:00,1529809284392,tr,csv_1529809284392.log,1000
2018-06-24T06:00:01+00:00,1529820001676,euw,csv_1529820001676.log,1000
2018-06-24T06:00:09+00:00,1529820009946,www,csv_1529820009946.log,1000
2018-06-24T06:00:21+00:00,1529820021555,jp,csv_1529820021555.log,1000
2018-06-24T06:00:30+00:00,1529820030101,na,csv_1529820030101.log,1000
2018-06-24T06:00:37+00:00,1529820037566,eune,csv_1529820037566.log,1000
2018-06-24T06:00:46+00:00,1529820046617,oce,csv_1529820046617.log,1000
2018-06-24T06:00:54+00:00,1529820054366,br,csv_1529820054366.log,1000
2018-06-24T06:01:02+00:00,1529820062901,las,csv_1529820062901.log,1000
2018-06-24T06:01:11+00:00,1529820071806,lan,csv_1529820071806.log,1000
2018-06-24T06:01:17+00:00,1529820077636,ru,csv_1529820077636.log,1000
2018-06-24T06:01:24+00:00,1529820084806,tr,csv_1529820084806.log,1000
2018-06-24T09:00:01+00:00,1529830801320,euw,csv_1529830801320.log,1000
2018-06-24T09:00:08+00:00,1529830808136,www,csv_1529830808136.log,1000
2018-06-24T09:00:19+00:00,1529830819450,jp,csv_1529830819450.log,1000
2018-06-24T09:00:27+00:00,1529830827106,na,csv_1529830827106.log,1000
2018-06-24T09:00:33+00:00,1529830833956,eune,csv_1529830833956.log,1000
2018-06-24T09:00:41+00:00,1529830841783,oce,csv_1529830841783.log,1000
2018-06-24T09:00:48+00:00,1529830848703,br,csv_1529830848703.log,1000
2018-06-24T09:00:57+00:00,1529830857097,las,csv_1529830857097.log,1000
2018-06-24T09:01:05+00:00,1529830865411,lan,csv_1529830865411.log,1000
2018-06-24T09:01:13+00:00,1529830873360,ru,csv_1529830873360.log,1000
2018-06-24T09:01:21+00:00,1529830881208,tr,csv_1529830881208.log,1000
2018-06-24T12:00:02+00:00,1529841602040,euw,csv_1529841602040.log,1000
2018-06-24T12:00:09+00:00,1529841609140,www,csv_1529841609140.log,1000
2018-06-24T12:00:22+00:00,1529841622758,jp,csv_1529841622758.log,1000
2018-06-24T12:00:30+00:00,1529841630864,na,csv_1529841630864.log,1000
2018-06-24T12:00:37+00:00,1529841637886,eune,csv_1529841637886.log,1000
2018-06-24T12:00:46+00:00,1529841646136,oce,csv_1529841646136.log,1000
2018-06-24T12:00:54+00:00,1529841654222,br,csv_1529841654222.log,1000
2018-06-24T12:01:02+00:00,1529841662057,las,csv_1529841662057.log,1000
2018-06-24T12:01:09+00:00,1529841669679,lan,csv_1529841669679.log,1000
2018-06-24T12:01:16+00:00,1529841676952,ru,csv_1529841676952.log,1000
2018-06-24T12:01:24+00:00,1529841684209,tr,csv_1529841684209.log,1000
2018-06-24T15:00:01+00:00,1529852401774,euw,csv_1529852401774.log,1000
2018-06-24T15:00:09+00:00,1529852409724,www,csv_1529852409724.log,1000
2018-06-24T15:00:21+00:00,1529852421541,jp,csv_1529852421541.log,1000
2018-06-24T15:00:28+00:00,1529852428958,na,csv_1529852428958.log,1000
2018-06-24T15:00:37+00:00,1529852437051,eune,csv_1529852437051.log,1000
2018-06-24T15:00:45+00:00,1529852445864,oce,csv_1529852445864.log,1000
2018-06-24T15:00:53+00:00,1529852453661,br,csv_1529852453661.log,1000
2018-06-24T15:01:01+00:00,1529852461643,las,csv_1529852461643.log,1000
2018-06-24T15:01:11+00:00,1529852471330,lan,csv_1529852471330.log,1000
2018-06-24T15:01:18+00:00,1529852478166,ru,csv_1529852478166.log,1000
2018-06-24T15:01:25+00:00,1529852485637,tr,csv_1529852485637.log,1000
2018-06-24T18:00:01+00:00,1529863201191,euw,csv_1529863201191.log,1000
2018-06-24T18:00:08+00:00,1529863208270,www,csv_1529863208270.log,1000
2018-06-24T18:00:18+00:00,1529863218549,jp,csv_1529863218549.log,1000
2018-06-24T18:00:26+00:00,1529863226340,na,csv_1529863226340.log,1000
2018-06-24T18:00:33+00:00,1529863233181,eune,csv_1529863233181.log,1000
2018-06-24T18:00:40+00:00,1529863240811,oce,csv_1529863240811.log,1000
2018-06-24T18:00:49+00:00,1529863249006,br,csv_1529863249006.log,1000
2018-06-24T18:00:58+00:00,1529863258012,las,csv_1529863258012.log,1000
2018-06-24T18:01:05+00:00,1529863265490,lan,csv_1529863265490.log,1000
2018-06-24T18:01:12+00:00,1529863272931,ru,csv_1529863272931.log,1000
