#timestamp 1530284432511
#date 2018-06-29T15:00:32+00:00
#players 1000
#index,id,rank,name,tier,lp,level,proTeam,win,loss
0,summoner-30950217,1,Necromartin,Challenger,1321,93,,274,191
1,summoner-25251096,2,Erring,Challenger,1089,111,,203,139
2,summoner-67237036,3,DawidaZ314,Challenger,1080,68,,185,128
3,summoner-114456,4,Just Milánek,Challenger,1010,119,,191,128
4,summoner-68577868,5,The FearDrug,Challenger,988,52,,132,76
5,summoner-54937799,6,I am LeBron,Challenger,965,96,,394,339
6,summoner-34366642,7,Zest of a Lemon,Challenger,959,83,,153,100
7,summoner-42337826,8,ŃightFury,Challenger,928,58,,135,76
8,summoner-19912631,9,balagan,Challenger,920,85,,186,138
9,summoner-56366993,10,Inferiorities,Challenger,914,136,,418,328
10,summoner-30354925,11,S4breTooth,Challenger,910,69,,179,132
11,summoner-32276072,12,Drutut,Challenger,900,88,,179,129
12,summoner-36174939,13,Orochimâru,Challenger,890,88,,185,125
13,summoner-29947317,14,LC Specialkey,Challenger,864,90,,127,75
14,summoner-35488076,15,Thomasive,Challenger,843,161,,346,302
15,summoner-41255766,16,Trenie,Challenger,791,63,,220,167
16,summoner-68397877,17,thícc boy,Challenger,783,136,,558,487
17,summoner-22424102,18,Dat Guy M0arcin,Challenger,758,83,,229,176
18,summoner-43537063,19,INFINITIUM,Challenger,770,103,,247,198
19,summoner-32525539,20,solony1,Challenger,767,120,,449,401
20,summoner-41719668,21,Hide On Ãütism,Challenger,713,122,,156,102
21,summoner-27638198,22,Samyaza3,Challenger,731,73,,142,105
22,summoner-31258700,23,SenuaI,Challenger,724,134,,176,131
23,summoner-29626431,24,Egé,Challenger,717,95,,118,78
24,summoner-24211787,25,45620 321,Challenger,714,55,,154,113
25,summoner-20911182,26,Mortar2,Challenger,709,78,,220,174
26,summoner-30869288,27,Hitman1771,Challenger,705,99,,400,336
27,summoner-24217661,28,43178261271,Challenger,689,62,,128,80
28,summoner-35839428,29,Dudî,Challenger,685,86,,152,107
29,summoner-38799811,30,VinTreZ,Challenger,663,82,,225,181
30,summoner-51510795,31,Psych0social,Challenger,655,107,,249,196
31,summoner-36586403,32,DJfaby,Challenger,652,85,,119,75
32,summoner-26053958,33,FonikiKouradoula,Challenger,649,128,,518,474
33,summoner-36034843,34,Whírlwind,Challenger,649,100,,260,218
34,summoner-28117164,35,7h3blu3,Challenger,649,150,,257,217
35,summoner-41188305,36,RABANUS XDD,Challenger,646,88,,306,265
36,summoner-29126866,37,Askarek,Challenger,644,98,,326,286
37,summoner-35473029,38,Yuno Gasai,Challenger,643,179,,167,124
38,summoner-33502635,39,Alek22,Challenger,616,102,,303,264
39,summoner-21445018,40,lykku,Challenger,630,72,,117,77
40,summoner-33845373,41,14133029,Challenger,618,95,,170,143
41,summoner-24537185,42,Sgt Reckface,Challenger,616,68,,129,85
42,summoner-25559670,43,CeKa,Challenger,613,85,,320,252
43,summoner-27260328,44,FizzCantCarry Q8,Challenger,610,108,,188,138
44,summoner-37803083,45,Adryeh,Challenger,608,111,,232,194
45,summoner-41373137,46,Tanya Degurechaf,Challenger,606,132,,246,205
46,summoner-30034043,47,Ztreetboy,Challenger,605,48,,137,79
47,summoner-52638381,48,BITE Petipino,Challenger,597,92,,238,199
48,summoner-62796707,49,Yasuxery,Challenger,596,49,,162,82
49,summoner-71988030,50,Kososanity,Challenger,578,51,,190,125
50,summoner-19708054,51,Heals1ut,Challenger,593,64,,143,96
51,summoner-30739384,52,Saya NΥX,Challenger,590,85,,140,96
52,summoner-68037994,53,Tilen Perko,Challenger,586,46,,119,55
53,summoner-29560341,54,Cougar,Challenger,599,109,,300,254
54,summoner-35076517,55,Boots of Speed,Challenger,570,78,,253,214
55,summoner-32706014,56,MyxiR,Challenger,569,89,,229,195
56,summoner-37619582,57,DareDévil,Challenger,562,238,,110,70
57,summoner-40824749,58,SECODE,Challenger,560,70,,133,94
58,summoner-22488792,59,Vioreleeee,Challenger,560,79,,102,69
59,summoner-62294050,60,MixepSRB,Challenger,557,95,,269,228
60,summoner-24304145,61,ShatterNightmare,Challenger,557,120,,232,202
61,summoner-36359863,62,Kysek,Challenger,555,68,,109,62
62,summoner-39257803,63,StayHumble,Challenger,552,156,,231,198
63,summoner-62512964,64,Songu,Challenger,551,92,,148,121
64,summoner-30363029,65,ku5h420igniteit,Challenger,548,88,,210,176
65,summoner-32164198,66,Trap40,Challenger,547,98,,300,267
66,summoner-30124073,67,VoidlingGeneral,Challenger,538,113,,197,154
67,summoner-24294620,68,Cant ToUcH DiS,Challenger,536,132,,230,189
68,summoner-49689206,69,TheDoffy,Challenger,518,107,,338,302
69,summoner-37847164,70,Dekkon,Challenger,530,81,,145,118
70,summoner-35483267,71,DIAMOND BTW,Challenger,528,69,,168,126
71,summoner-48645710,72,JoinedandPlayed,Challenger,527,60,,166,119
72,summoner-43463469,73,Niinja,Challenger,526,126,,512,466
73,summoner-34647447,74,Thebausffs,Challenger,523,79,,126,91
74,summoner-36880627,75,Kizuro,Challenger,522,71,,150,120
75,summoner-20768545,76,Keàsar,Challenger,516,93,,188,149
76,summoner-37834995,77,Sl Karapanos,Challenger,511,115,,153,112
