#timestamp 1530133259600
#date 2018-06-27T21:00:59+00:00
#players 1000
#index,id,rank,name,tier,lp,level,proTeam,win,loss
0,summoner-485522,1,Josedeodo,Challenger,1277,88,,126,54
1,summoner-54601,2,Aloned,Challenger,1163,88,,261,176
2,summoner-13101424,3,Jon Slow,Challenger,971,67,,165,93
3,summoner-146501,4,Reincarnati0n,Challenger,948,82,,298,252
4,summoner-12970770,5,Laro,Challenger,912,109,,292,242
5,summoner-22373,6,Jara,Challenger,841,96,,315,267
6,summoner-887542,7,Áckerman,Challenger,836,88,,201,149
7,summoner-39798,8,Ðark,Challenger,804,75,,132,77
8,summoner-41970,9,Ronnie Sullivan,Challenger,780,97,,319,274
9,summoner-78155,10,Jovana Rea,Challenger,743,70,,167,116
10,summoner-551623,11,Cubn,Challenger,737,92,,241,185
11,summoner-258446,12,Plugo,Challenger,715,68,,138,97
12,summoner-2260415,13,ClickClick,Challenger,616,120,,279,247
13,summoner-117772,14,CAMI LA TRAVESTI,Challenger,613,165,,290,188
14,summoner-2273511,15,Bën,Challenger,603,93,,150,115
15,summoner-316731,16,Fixeal,Challenger,584,64,,141,85
16,summoner-42122,17,TøpLop,Challenger,582,159,,612,568
17,summoner-90878,18,Crab,Challenger,561,66,,185,148
18,summoner-419084,19,Follow,Challenger,565,107,,262,215
19,summoner-197380,20,El tio Pompas,Challenger,549,145,,194,141
20,summoner-919421,21,LSG TurboBestia,Challenger,534,97,,169,126
21,summoner-1342068,22,Just Historia,Challenger,529,136,,442,414
22,summoner-11510189,23,MK Piqueos,Challenger,528,71,,178,141
23,summoner-55115,24,Amazing LOL,Challenger,522,76,,219,175
24,summoner-1272154,25,KING Dongˇha,Challenger,517,114,,348,314
25,summoner-1540877,26,Rîn,Challenger,516,66,,229,183
26,summoner-6421946,27,Franchu1440,Challenger,514,80,,295,251
27,summoner-4168955,28,adcccc,Challenger,523,114,,269,222
28,summoner-3773783,29,xypherz,Challenger,498,115,,356,310
29,summoner-4563644,30,Stay in Tower,Challenger,493,140,,510,472
30,summoner-521178,31,Kartana,Challenger,479,92,,292,248
31,summoner-2531572,32,Zach dempsey,Challenger,477,93,,343,304
32,summoner-28154,33,TA Sasuke,Challenger,469,70,,163,127
33,summoner-14220740,34,should kys,Challenger,466,67,,287,224
34,summoner-247624,35,lkiefer,Challenger,466,102,,180,154
35,summoner-8511827,36,Ðaedra,Challenger,462,58,,108,71
36,summoner-214586,37,Churri1,Challenger,460,56,,164,131
37,summoner-100168,38,Ázenth,Challenger,449,99,,271,231
38,summoner-71900,39,2v1 plz,Challenger,447,104,,231,201
39,summoner-65363,40,Ríos,Challenger,446,78,,126,92
40,summoner-414524,41,FIare,Challenger,441,110,,222,188
41,summoner-183154,42,Mát,Challenger,434,99,,324,289
42,summoner-68001,43,EduardoFilopo,Challenger,432,92,,231,190
43,summoner-4054501,44,Cesni,Challenger,430,115,,321,305
44,summoner-118449,45,maybe someday,Challenger,416,60,,168,135
45,summoner-1140356,46,F3NIX,Challenger,415,74,,142,104
46,summoner-1254016,47,FLORA FATALE,Challenger,395,107,,285,251
47,summoner-14143678,48,CA Krim,Challenger,409,63,,183,120
48,summoner-201891,49,randommmm,Challenger,405,72,,151,124
49,summoner-8560132,50,Henrik Hansen,Challenger,405,61,,141,104
50,summoner-130151,51,woofı,Challenger,404,66,,136,105
51,summoner-10890287,52,Fan De CasterMax,Challenger,402,100,,183,142
52,summoner-238388,53,NaFT,Challenger,402,90,,132,99
53,summoner-464759,54,Little ROODRA,Challenger,401,88,,251,161
54,summoner-6232791,55,Fòrce,Challenger,400,49,,72,36
55,summoner-110499,56,Psykhé,Challenger,397,73,,235,200
56,summoner-735988,57,Ayax UwU,Challenger,393,77,,268,198
57,summoner-4590501,58,1cody,Challenger,386,72,,252,198
58,summoner-6490141,59,SiuRuFa,Challenger,383,89,,225,200
