#timestamp 1529960458181
#date 2018-06-25T21:00:58+00:00
#players 1000
#index,id,rank,name,tier,lp,level,proTeam,win,loss
0,summoner-54601,1,Aloned,Challenger,1245,88,,260,176
1,summoner-485522,2,Josedeodo,Challenger,1244,86,,124,54
2,summoner-146501,3,Reincarnati0n,Challenger,981,81,,296,249
3,summoner-13101424,4,Jon Slow,Challenger,964,67,,160,90
4,summoner-12970770,5,Laro,Challenger,900,108,,290,241
5,summoner-22373,6,Jara,Challenger,831,96,,314,267
6,summoner-887542,7,Áckerman,Challenger,849,87,,200,148
7,summoner-39798,8,Ðark,Challenger,804,75,,132,77
8,summoner-41970,9,Ronnie Sullivan,Challenger,780,97,,319,274
9,summoner-551623,10,Cubn,Challenger,746,92,,240,184
10,summoner-78155,11,Jovana Rea,Challenger,737,70,,164,114
11,summoner-258446,12,Plugo,Challenger,700,67,,135,95
12,summoner-117772,13,Popeyee,Challenger,637,164,,290,187
13,summoner-197380,14,El tio Pompas,Challenger,629,145,,192,141
14,summoner-2273511,15,Bën,Challenger,612,93,,149,114
15,summoner-42122,16,TøpLop,Challenger,573,158,,609,566
16,summoner-2260415,17,ClickClick,Challenger,588,118,,277,247
17,summoner-316731,18,Fixeal,Challenger,588,64,,140,83
18,summoner-1540877,19,Rîn,Challenger,581,66,,228,179
19,summoner-90878,20,Crab,Challenger,569,66,,183,146
20,summoner-419084,21,Follow,Challenger,575,106,,261,214
21,summoner-11510189,22,MK Piqueos,Challenger,534,71,,177,140
22,summoner-919421,23,LSG TurboBestia,Challenger,534,97,,169,126
23,summoner-1342068,24,Just Historia,Challenger,529,136,,442,414
24,summoner-55115,25,Amazing LOL,Challenger,522,76,,219,175
25,summoner-3773783,26,xypherz,Challenger,517,115,,356,309
26,summoner-6421946,27,Franchu1440,Challenger,514,80,,295,251
27,summoner-2531572,28,Zach dempsey,Challenger,511,93,,342,301
28,summoner-4168955,29,adcccc,Challenger,498,113,,266,220
29,summoner-4563644,30,Stay in Tower,Challenger,493,140,,510,472
30,summoner-28154,31,TA Sasuke,Challenger,489,70,,163,126
31,summoner-14220740,32,should kys,Challenger,488,67,,287,223
32,summoner-65363,33,Ríos,Challenger,488,77,,126,90
33,summoner-1272154,34,KING Dongˇha,Challenger,486,113,,345,313
34,summoner-414524,35,FIare,Challenger,484,110,,222,186
35,summoner-10890287,36,Fan De CasterMax,Challenger,477,98,,177,134
36,summoner-201891,37,randommmm,Challenger,472,72,,151,121
37,summoner-247624,38,lkiefer,Challenger,466,102,,180,154
38,summoner-521178,39,Kartana,Challenger,462,92,,291,248
39,summoner-214586,40,Churri1,Challenger,461,56,,163,130
40,summoner-68001,41,EduardoFilopo,Challenger,451,92,,229,187
41,summoner-8511827,42,Ðaedra,Challenger,444,58,,107,71
42,summoner-183154,43,Mát,Challenger,434,99,,324,289
43,summoner-71900,44,2v1 plz,Challenger,447,102,,231,201
44,summoner-100168,45,Ázenth,Challenger,432,98,,269,230
45,summoner-118449,46,maybe someday,Challenger,424,58,,166,133
46,summoner-1140356,47,F3NIX,Challenger,422,74,,140,102
47,summoner-6232791,48,Fòrce,Challenger,416,49,,72,35
48,summoner-464759,49,Little ROODRA,Challenger,406,88,,250,160
49,summoner-238388,50,NaFT,Challenger,406,90,,131,98
50,summoner-1254016,51,FLORA FATALE,Challenger,399,106,,284,250
51,summoner-1434364,52,OFWGKTA,Challenger,380,110,,338,297
52,summoner-110499,53,Psykhé,Challenger,397,73,,235,200
53,summoner-4054501,54,Cesni,Challenger,394,114,,319,305
54,summoner-735988,55,Ayax UwU,Challenger,393,77,,268,198
55,summoner-225934,56,Morts,Challenger,389,109,,339,312
56,summoner-4590501,57,1cody,Challenger,388,71,,251,197
57,summoner-51342,58,We Are Life,Challenger,388,56,,120,89
58,summoner-130151,59,woofı,Challenger,386,66,,133,104
59,summoner-14130145,60,finding myself,Challenger,384,67,,218,159
60,summoner-29645,61,PureBlood,Challenger,382,84,,239,205
61,summoner-8560132,62,Henrik Hansen,Challenger,381,60,,137,101
62,summoner-14143678,63,CA Krim,Challenger,376,63,,181,120
63,summoner-93840,64,CHAU AMlGOS,Challenger,376,67,,173,153
64,summoner-61840,65,Phyro,Challenger,376,92,,139,112
65,summoner-1811981,66,Nero CIaudius,Challenger,375,55,,136,104
66,summoner-132222,67,ANHLTR,Challenger,372,76,,169,145
67,summoner-556257,68,Shales,Challenger,366,91,,185,148
68,summoner-1042870,69,ADC IN MMXVIII,Challenger,348,97,,227,202
69,summoner-5271319,70,HangedMan,Challenger,364,70,,213,175
70,summoner-7136429,71,Tachikawa Mimi,Challenger,361,117,,306,287
71,summoner-64238,72,BL Leonaidas,Challenger,358,69,,189,162
72,summoner-7096236,73,Kiyro,Challenger,356,101,,197,161
73,summoner-13840348,74,Pancake v2,Challenger,355,48,,90,58
74,summoner-6443773,75,sNow is Back,Challenger,350,43,,93,43
75,summoner-56039,76,tilin,Challenger,348,83,,121,93
76,summoner-1640210,77,Zeb3xy,Challenger,344,178,,748,740
77,summoner-25895,78,Walkarus,Challenger,342,85,,214,187
78,summoner-2080155,79,Ankør,Challenger,339,88,,213,188
79,summoner-114867,80,Dhek,Challenger,336,114,,382,351
80,summoner-4262259,81,chill and win,Challenger,333,85,,145,114
