#timestamp 1529809234607
#date 2018-06-24T03:00:34+00:00
#players 1000
#index,id,rank,name,tier,lp,level,proTeam,win,loss
0,summoner-30950217,1,Necromartin,Challenger,1346,92,,271,188
1,summoner-67237036,2,DawidaZ314,Challenger,1038,67,,172,121
2,summoner-114456,3,Just Milánek,Challenger,1034,118,,191,127
3,summoner-56366993,4,Inferiorities,Challenger,1022,133,,399,308
4,summoner-68577868,5,The FearDrug,Challenger,1002,51,,129,73
5,summoner-34366642,6,Zest of a Lemon,Challenger,993,83,,153,98
6,summoner-35488076,7,Thomasive,Challenger,948,157,,340,292
7,summoner-25251096,8,Erring,Challenger,936,108,,183,126
8,summoner-46571745,9,Challenger Riven,Challenger,932,65,,171,115
9,summoner-19912631,10,balagan,Challenger,929,83,,179,132
10,summoner-32276072,11,Drutut,Challenger,919,87,,179,128
11,summoner-30354925,12,S4breTooth,Challenger,916,69,,177,130
12,summoner-29947317,13,LC Specialkey,Challenger,915,89,,125,71
13,summoner-54937799,14,I am LeBron,Challenger,907,95,,386,334
14,summoner-36174939,15,Orochimâru,Challenger,856,86,,183,125
15,summoner-41255766,16,Trenie,Challenger,794,62,,219,166
16,summoner-42337826,17,ŃightFury,Challenger,786,57,,122,72
17,summoner-43537063,18,INFINITIUM,Challenger,776,103,,246,197
18,summoner-41719668,19,Hide On Ãütism,Challenger,773,120,,152,95
19,summoner-38799811,20,VinTreZ,Challenger,770,81,,224,180
20,summoner-29626431,21,Egé,Challenger,730,93,,115,75
21,summoner-22424102,22,Dat Guy M0arcin,Challenger,716,81,,223,173
22,summoner-20911182,23,Mortar2,Challenger,713,76,,209,165
23,summoner-31258700,24,SenuaI,Challenger,707,133,,174,130
24,summoner-35839428,25,Dudî,Challenger,707,85,,151,105
25,summoner-68397877,26,thícc boy,Challenger,697,135,,553,487
26,summoner-36034843,27,Whírlwind,Challenger,697,98,,251,206
27,summoner-27638198,28,Samyaza3,Challenger,689,72,,137,102
28,summoner-51510795,29,Psych0social,Challenger,676,105,,247,194
29,summoner-24217661,30,43178261271,Challenger,669,60,,126,79
30,summoner-32525539,31,solony1,Challenger,659,119,,439,394
31,summoner-35473029,32,Yuno Gasai,Challenger,647,174,,164,121
32,summoner-29560341,33,Cougar,Challenger,629,106,,287,240
33,summoner-37803083,34,Adryeh,Challenger,629,110,,230,191
34,summoner-41373137,35,Tanya Degurechaf,Challenger,627,130,,243,202
35,summoner-33502635,36,Alek22,Challenger,625,100,,296,256
36,summoner-30034043,37,Ztreetboy,Challenger,617,48,,134,75
37,summoner-24537185,38,Sgt Reckface,Challenger,617,67,,127,83
38,summoner-41188305,39,RABANUS XDD,Challenger,614,87,,297,258
39,summoner-27260328,40,FizzCantCarry Q8,Challenger,630,107,,186,135
40,summoner-33845373,41,14133029,Challenger,614,93,,167,141
41,summoner-25559670,42,CeKa,Challenger,613,85,,320,252
42,summoner-28117164,43,7h3blu3,Challenger,612,144,,255,217
43,summoner-22488792,44,THR Vioreleeee,Challenger,605,78,,101,66
44,summoner-42310753,45,septico1,Challenger,600,140,,298,259
45,summoner-36586403,46,DJfaby,Challenger,598,83,,115,74
46,summoner-30869288,47,Hitman1771,Challenger,596,97,,384,323
47,summoner-38198493,48,Virtuøso,Challenger,591,130,,254,213
48,summoner-30739384,49,Saya NΥX,Challenger,590,85,,140,96
49,summoner-24211787,50,45620 321,Challenger,589,53,,143,109
50,summoner-29126866,51,Askarek,Challenger,583,98,,321,285
51,summoner-32164198,52,Trap40,Challenger,569,97,,294,259
52,summoner-37847164,53,Dekkon,Challenger,568,81,,145,116
53,summoner-24304145,54,ShatterNightmare,Challenger,580,119,,229,198
54,summoner-32706014,55,MyxiR,Challenger,564,88,,225,192
55,summoner-35483267,56,DIAMOND BTW,Challenger,564,69,,167,123
56,summoner-19708054,57,Heals1ut,Challenger,563,63,,139,93
57,summoner-68037994,58,Tilen Perko,Challenger,563,45,,115,53
58,summoner-22901643,59,Black Pete,Challenger,558,80,,284,242
59,summoner-24294620,60,Cant ToUcH DiS,Challenger,554,130,,228,186
60,summoner-54125134,61,DeIusion,Challenger,553,143,,306,262
61,summoner-37834995,62,Sl Karapanos,Challenger,550,114,,152,109
62,summoner-62294050,63,MixepSRB,Challenger,547,94,,266,226
63,summoner-62512964,64,Songu,Challenger,546,88,,145,118
64,summoner-43062702,65,iTq,Challenger,544,101,,325,277
65,summoner-21445018,66,lykku,Challenger,540,71,,110,75
66,summoner-20768545,67,Keàsar,Challenger,533,93,,188,148
67,summoner-62796707,68,Yasuxery,Challenger,529,48,,156,80
68,summoner-61222996,69,A4e v2,Challenger,527,161,,544,512
69,summoner-43463469,70,Niinja,Challenger,524,125,,508,463
70,summoner-59184238,71,Awesome Giovanni,Challenger,522,109,,192,151
71,summoner-30363029,72,ku5h420igniteit,Challenger,512,87,,206,175
72,summoner-34647447,73,Thebausffs,Challenger,511,78,,122,88
73,summoner-37619582,74,DareDévil,Challenger,511,236,,106,69
74,summoner-39596221,75,1Tyr,Challenger,509,73,,186,135
75,summoner-20517918,76,Craz,Challenger,507,44,,91,49
76,summoner-69116222,77,Vestas,Challenger,506,45,,116,57
77,summoner-30124073,78,VoidlingGeneral,Challenger,505,112,,194,153
78,summoner-34096414,79,Gwiazda11,Challenger,504,117,,487,424
79,summoner-52638381,80,BITE Petipino,Challenger,500,91,,230,195
80,summoner-49505896,81,xflaidy,Challenger,500,106,,195,156
81,summoner-33354090,82,krul rafcio,Challenger,498,64,,153,114
82,summoner-33613346,83,Teh,Challenger,498,98,,92,57
83,summoner-36880627,84,Kizuro,Challenger,496,70,,143,116
84,summoner-54973046,85,Hatred The Daddy,Challenger,495,60,,222,146
85,summoner-36926878,86,Zenap,Challenger,493,123,,168,128
86,summoner-40170634,87,Icetan,Challenger,493,90,,127,89
87,summoner-29933647,88,Bryce Walker,Challenger,492,100,,256,217
88,summoner-36359863,89,Kysek,Challenger,492,67,,104,61
89,summoner-34916156,90,Alcoholic,Challenger,486,87,,114,70
90,summoner-35076517,91,Boots of Speed,Challenger,482,76,,244,210
91,summoner-37339075,92,NoBrainVayneMain,Challenger,480,105,,340,301
92,summoner-54973039,93,Kristijan King,Challenger,469,171,,793,748
93,summoner-28928793,94,StoneGuard,Challenger,469,117,,145,114
94,summoner-40824749,95,SECODE,Challenger,468,68,,127,94
95,summoner-27682983,96,Hantá,Challenger,467,55,,166,131
96,summoner-34059489,97,Ψ NinjaDoge Ψ,Challenger,465,101,,181,139
97,summoner-30110835,98,PoN,Challenger,462,117,,212,175
98,summoner-44103732,99,olikaan,Challenger,459,139,,205,176
99,summoner-40358396,100,BDS Laudon,Challenger,457,118,,249,206
100,summoner-68728548,101,adalbarthasdine,Challenger,456,42,,113,61
101,summoner-23400758,102,Hardustriel,Challenger,455,123,,213,175
102,summoner-72743432,103,Low Nine,Challenger,450,52,,146,88
103,summoner-39257803,104,StayHumble,Challenger,449,149,,223,196
104,summoner-26053958,105,FonikiKouradoula,Challenger,446,125,,502,468
105,summoner-40027898,106,Gery Nikol,Challenger,443,139,,123,82
106,summoner-70713941,107,Lenka fanboy,Challenger,440,64,,140,100
107,summoner-31921889,108,xDamon Salvatore,Challenger,439,90,,202,166
108,summoner-23214988,109,NXG Legion,Challenger,439,68,,142,106
109,summoner-26347442,110,Levís,Challenger,438,75,,153,117
110,summoner-35716576,111,Ôzen,Challenger,435,145,,187,144
111,summoner-43603496,112,Baldikshir,Challenger,434,60,,170,135
112,summoner-24746936,113,Shine001k,Challenger,434,77,,133,95
113,summoner-49689206,114,TheDoffy,Challenger,431,105,,322,289
114,summoner-42321931,115,Şhy Zerø tωo,Challenger,431,66,,88,52
115,summoner-70182989,116,Midlane Outsider,Challenger,429,119,,226,194
116,summoner-35791510,117,CSTADYHONZA,Challenger,423,97,,212,176
117,summoner-30738266,118,torpick,Challenger,421,72,,263,234
118,summoner-72173097,119,KY Leo,Challenger,417,117,,244,220
119,summoner-38499311,120,ZXY,Challenger,417,62,,221,148
120,summoner-31337125,121,TheStrzelba,Challenger,416,132,,584,539
121,summoner-40385818,122,Richor,Challenger,414,68,,177,151
122,summoner-66606846,123,SpeeDDu,Challenger,414,54,,126,91
