#timestamp 1529917234970
#date 2018-06-25T09:00:34+00:00
#players 1000
#index,id,rank,name,tier,lp,level,proTeam,win,loss
0,summoner-30950217,1,Necromartin,Challenger,1358,92,,272,188
1,summoner-67237036,2,DawidaZ314,Challenger,1038,67,,172,121
2,summoner-114456,3,Just Milánek,Challenger,1034,118,,191,127
3,summoner-56366993,4,Inferiorities,Challenger,1009,134,,407,315
4,summoner-25251096,5,Erring,Challenger,994,109,,186,126
5,summoner-68577868,6,The FearDrug,Challenger,980,52,,129,74
6,summoner-34366642,7,Zest of a Lemon,Challenger,975,83,,153,99
7,summoner-19912631,8,balagan,Challenger,962,84,,181,132
8,summoner-35488076,9,Thomasive,Challenger,959,158,,342,293
9,summoner-30354925,10,S4breTooth,Challenger,934,69,,178,130
10,summoner-54937799,11,I am LeBron,Challenger,930,95,,390,337
11,summoner-32276072,12,Drutut,Challenger,919,87,,179,128
12,summoner-29947317,13,LC Specialkey,Challenger,913,89,,126,72
13,summoner-36174939,14,Orochimâru,Challenger,856,86,,183,125
14,summoner-46571745,15,Challenger Riven,Challenger,832,65,,171,115
15,summoner-41255766,16,Trenie,Challenger,794,62,,219,166
16,summoner-42337826,17,ŃightFury,Challenger,786,57,,122,72
17,summoner-43537063,18,INFINITIUM,Challenger,776,103,,246,197
18,summoner-38799811,19,VinTreZ,Challenger,770,81,,224,180
19,summoner-29626431,20,Egé,Challenger,745,93,,116,75
20,summoner-20911182,21,Mortar2,Challenger,738,76,,214,168
21,summoner-31258700,22,SenuaI,Challenger,724,134,,176,131
22,summoner-36034843,23,Whírlwind,Challenger,721,98,,254,208
23,summoner-22424102,24,Dat Guy M0arcin,Challenger,716,81,,223,173
24,summoner-41719668,25,Hide On Ãütism,Challenger,702,121,,152,99
25,summoner-68397877,26,thícc boy,Challenger,697,135,,553,487
26,summoner-27638198,27,Samyaza3,Challenger,689,72,,137,102
27,summoner-35839428,28,Dudî,Challenger,687,85,,151,106
28,summoner-51510795,29,Psych0social,Challenger,676,105,,247,194
29,summoner-32525539,30,solony1,Challenger,669,119,,441,397
30,summoner-24217661,31,43178261271,Challenger,669,60,,126,79
31,summoner-33502635,32,Alek22,Challenger,663,101,,298,256
32,summoner-41373137,33,Tanya Degurechaf,Challenger,658,130,,245,202
33,summoner-41188305,34,RABANUS XDD,Challenger,653,88,,304,263
34,summoner-27260328,35,FizzCantCarry Q8,Challenger,646,107,,187,135
35,summoner-24537185,36,Sgt Reckface,Challenger,634,67,,128,83
36,summoner-35473029,37,Yuno Gasai,Challenger,628,175,,164,122
37,summoner-30034043,38,Ztreetboy,Challenger,617,48,,134,75
38,summoner-33845373,39,14133029,Challenger,614,93,,167,141
39,summoner-25559670,40,CeKa,Challenger,613,85,,320,252
40,summoner-28117164,41,7h3blu3,Challenger,612,144,,255,217
41,summoner-29560341,42,Cougar,Challenger,607,106,,289,243
42,summoner-22488792,43,THR Vioreleeee,Challenger,605,79,,101,66
43,summoner-19708054,44,Heals1ut,Challenger,603,63,,142,94
44,summoner-42310753,45,septico1,Challenger,600,140,,298,259
45,summoner-36586403,46,DJfaby,Challenger,598,84,,115,74
46,summoner-30869288,47,Hitman1771,Challenger,596,97,,384,323
47,summoner-30739384,48,Saya NΥX,Challenger,590,85,,140,96
48,summoner-24211787,49,45620 321,Challenger,589,53,,143,109
49,summoner-29126866,50,Askarek,Challenger,583,98,,321,285
50,summoner-32706014,51,MyxiR,Challenger,582,88,,226,192
51,summoner-26053958,52,FonikiKouradoula,Challenger,581,126,,511,470
52,summoner-24304145,53,ShatterNightmare,Challenger,580,119,,229,198
53,summoner-68037994,54,Tilen Perko,Challenger,579,45,,116,53
54,summoner-37803083,55,Adryeh,Challenger,573,111,,230,194
55,summoner-37834995,56,Sl Karapanos,Challenger,568,114,,153,109
56,summoner-22901643,57,Black Pete,Challenger,558,80,,284,242
57,summoner-21445018,58,lykku,Challenger,558,71,,111,75
58,summoner-38198493,59,Virtuøso,Challenger,554,130,,254,215
59,summoner-32164198,60,Trap40,Challenger,549,97,,294,260
60,summoner-37847164,61,Dekkon,Challenger,549,81,,145,117
61,summoner-62512964,62,Songu,Challenger,548,88,,147,120
62,summoner-62294050,63,MixepSRB,Challenger,547,94,,266,226
63,summoner-35483267,64,DIAMOND BTW,Challenger,546,69,,167,124
64,summoner-24294620,65,Cant ToUcH DiS,Challenger,536,130,,230,189
65,summoner-20768545,66,Keàsar,Challenger,533,93,,188,148
66,summoner-62796707,67,Yasuxery,Challenger,529,48,,156,80
67,summoner-36880627,68,Kizuro,Challenger,528,70,,145,116
68,summoner-30363029,69,ku5h420igniteit,Challenger,526,87,,207,175
69,summoner-61222996,70,A4e v2,Challenger,524,161,,545,513
70,summoner-43463469,71,Niinja,Challenger,524,125,,508,463
71,summoner-59184238,72,Awesome Giovanni,Challenger,522,109,,192,151
72,summoner-30124073,73,VoidlingGeneral,Challenger,521,113,,196,154
73,summoner-33613346,74,Teh,Challenger,517,98,,93,57
74,summoner-39596221,75,1Tyr,Challenger,509,73,,186,135
75,summoner-34647447,76,Thebausffs,Challenger,507,78,,124,90
76,summoner-20517918,77,Craz,Challenger,507,44,,91,49
77,summoner-54125134,78,DeIusion,Challenger,506,143,,313,270
78,summoner-69116222,79,Vestas,Challenger,506,45,,116,57
79,summoner-34096414,80,Gwiazda11,Challenger,504,117,,487,424
80,summoner-29933647,81,Bryce Walker,Challenger,502,100,,258,218
81,summoner-49505896,82,xflaidy,Challenger,502,106,,196,157
82,summoner-35076517,83,Boots of Speed,Challenger,498,76,,246,211
83,summoner-54973046,84,Hatred The Daddy,Challenger,495,60,,222,146
84,summoner-36359863,85,Kysek,Challenger,492,67,,104,61
85,summoner-37619582,86,DareDévil,Challenger,491,236,,106,70
86,summoner-52638381,87,BITE Petipino,Challenger,486,91,,231,197
87,summoner-40824749,88,SECODE,Challenger,482,68,,128,94
88,summoner-33354090,89,krul rafcio,Challenger,478,64,,154,116
89,summoner-27682983,90,Amino the hantá,Challenger,475,57,,169,134
90,summoner-40170634,91,Icetan,Challenger,475,91,,127,90
91,summoner-44103732,92,olikaan,Challenger,472,140,,207,177
92,summoner-43062702,93,iTq,Challenger,453,101,,326,283
93,summoner-36926878,94,Zenap,Challenger,470,123,,168,129
94,summoner-28928793,95,StoneGuard,Challenger,469,117,,145,114
95,summoner-34916156,96,Alcoholic,Challenger,467,87,,114,71
96,summoner-34059489,97,Ψ NinjaDoge Ψ,Challenger,465,101,,181,139
97,summoner-37339075,98,NoBrainVayneMain,Challenger,462,105,,340,302
98,summoner-43603496,99,Baldikshir,Challenger,462,60,,173,136
99,summoner-68728548,100,adalbarthasdine,Challenger,458,43,,114,62
100,summoner-72743432,101,Low Nine,Challenger,450,52,,146,88
101,summoner-49689206,102,TheDoffy,Challenger,445,105,,325,292
102,summoner-70182989,103,Midlane Outsider,Challenger,443,119,,228,195
103,summoner-40027898,104,Gery Nikol,Challenger,443,139,,123,82
104,summoner-70713941,105,Lenka fanboy,Challenger,440,65,,140,100
105,summoner-31921889,106,xDamon Salvatore,Challenger,439,90,,202,166
106,summoner-23214988,107,NXG Legion,Challenger,439,68,,142,106
107,summoner-26347442,108,Levís,Challenger,438,75,,153,117
108,summoner-39257803,109,StayHumble,Challenger,431,149,,223,197
109,summoner-40385818,110,Richor,Challenger,431,68,,178,151
110,summoner-42321931,111,Şhy Zerø tωo,Challenger,431,67,,88,52
111,summoner-23400758,112,Hardustriel,Challenger,427,124,,215,178
112,summoner-40358396,113,BDS Laudon,Challenger,424,118,,250,210
113,summoner-35791510,114,CSTADYHONZA,Challenger,423,97,,212,176
114,summoner-30738266,115,torpick,Challenger,421,72,,263,234
115,summoner-38499311,116,ZXY,Challenger,421,63,,222,149
116,summoner-35304360,117,Capcioc,Challenger,420,122,,157,121
117,summoner-30110835,118,PoN,Challenger,415,117,,213,178
118,summoner-31793915,119,Zazapp,Challenger,414,52,,166,99
119,summoner-66606846,120,SpeeDDu,Challenger,414,54,,126,91
120,summoner-70596075,121,HakunaMattatta,Challenger,411,70,,230,194
121,summoner-48645710,122,JoinedandPlayed,Challenger,410,57,,159,119
122,summoner-24503452,123,EU AnimalTrainer,Challenger,408,86,,242,188
123,summoner-24385272,124,Yashiru,Challenger,408,68,,199,162
124,summoner-34020838,125,C9 Norgod,Challenger,408,91,,121,87
125,summoner-26405360,126,TLP Coatpustmain,Challenger,407,87,,288,245
126,summoner-32497510,127,Hayp,Challenger,405,63,,246,196
127,summoner-71988030,128,Kososanity,Challenger,405,48,,167,106
128,summoner-25529425,129,Th3BaBaDo0K,Challenger,403,171,,662,633
129,summoner-72173097,130,KY Leo,Challenger,403,117,,246,222
130,summoner-21147121,131,ParowózTomek,Challenger,401,70,,78,41
131,summoner-63133663,132,Patâ,Challenger,399,65,,165,129
132,summoner-38009638,133,VasterOfKled,Challenger,396,87,,208,168
133,summoner-27247414,134,Charca,Challenger,396,73,,87,45
134,summoner-29018603,135,Yourself5times,Challenger,394,93,,254,226
135,summoner-36647726,136,XartiX 420,Challenger,393,65,,296,167
136,summoner-19899632,137,BedvolfAgarwaen,Challenger,393,62,,102,67
137,summoner-68838041,138,remundahilmorga,Challenger,392,77,,178,143
138,summoner-22428390,139,Skinny dipper,Challenger,391,60,,203,172
139,summoner-39927024,140,Qythien,Challenger,375,84,,156,111
140,summoner-54458064,141,Yerllo,Challenger,390,118,,212,172
141,summoner-71374980,142,beamer bøy,Challenger,388,56,,189,136
142,summoner-31919733,143,shyvtaric,Challenger,402,103,,362,344
143,summoner-38074727,144,Tigric2000,Challenger,386,105,,313,287
144,summoner-37105357,145,Daraaka123,Challenger,406,54,,177,101
145,summoner-31434850,146,eL Maquk,Challenger,385,89,,163,125
146,summoner-23833294,147,Senafir,Challenger,385,105,,147,110
147,summoner-32675866,148,sC Stefan,Challenger,384,115,,97,57
148,summoner-53826633,149,GS RekitRalf,Challenger,383,99,,173,142
149,summoner-54973039,150,Kristijan King,Challenger,381,173,,796,755
150,summoner-30818415,151,UrbanekShow,Challenger,381,79,,220,187
151,summoner-45293753,152,M4CI3KunluckyTOP,Challenger,381,101,,198,165
152,summoner-40604579,153,Lυnatıc,Challenger,378,81,,305,206
153,summoner-43168575,154,MM Revenger,Challenger,377,124,,197,166
154,summoner-29483874,155,BDS bobiistaa,Challenger,373,115,,382,350
155,summoner-27242434,156,kakosicek,Challenger,371,115,,348,316
156,summoner-35716576,157,Ôzen,Challenger,371,145,,187,147
157,summoner-42322373,158,HELLAS Tranquil,Challenger,368,64,,175,133
158,summoner-24746936,159,Shine001k,Challenger,368,77,,133,99
159,summoner-37915705,160,Trust46,Challenger,366,94,,262,226
160,summoner-24277714,161,pYemuL,Challenger,362,59,,174,140
161,summoner-42358639,162,Divine Interoid,Challenger,360,73,,241,213
162,summoner-25834373,163,94716,Challenger,358,75,,251,212
163,summoner-33973961,164,ZYX Famas,Challenger,357,96,,204,167
164,summoner-25524501,165,Arch Nemesis,Challenger,355,47,,115,81
165,summoner-62475364,166,BarrelBros,Challenger,354,57,,133,86
166,summoner-31929469,167,Kazemitra,Challenger,352,127,,497,474
167,summoner-30798969,168,malcom v1,Challenger,352,123,,210,180
168,summoner-31337125,169,TheStrzelba,Challenger,350,133,,586,544
169,summoner-38490045,170,Grk 3 Tears,Challenger,348,55,,102,76
170,summoner-41829004,171,Hodný Vlk,Challenger,347,84,,193,165
171,summoner-32953063,172,Hi im Taka,Challenger,346,89,,232,196
172,summoner-30304141,173,Dżankos Smurf,Challenger,344,76,,127,93
173,summoner-23815734,174,Wisakoy,Challenger,343,89,,242,210
174,summoner-40734816,175,matiz4win,Challenger,342,89,,175,138
175,summoner-27889019,176,KSV MID CROWN,Challenger,339,87,,326,284
176,summoner-41963589,177,Catstyle,Challenger,339,74,,214,185
177,summoner-72576440,178,Laitnoir,Challenger,339,42,,80,29
178,summoner-21704109,179,EuneAnimallul,Challenger,356,97,,236,200
179,summoner-27865746,180,ChosenONF1rE,Challenger,337,85,,312,290
180,summoner-41542670,181,Dositej Colamax,Challenger,337,63,,75,38
181,summoner-31140082,182,Jadelit,Challenger,336,92,,249,218
182,summoner-61002976,183,Chains,Challenger,335,122,,354,322
183,summoner-61382972,184,Flamy v5,Challenger,334,99,,188,159
184,summoner-38716840,185,ETMS Aidamák,Challenger,333,151,,361,325
185,summoner-48117052,186,NeverLucky JJ,Challenger,332,108,,417,379
186,summoner-29001286,187,Dąbek1,Challenger,314,103,,332,302
187,summoner-52463268,188,JACKET IS MINE,Challenger,332,84,,316,292
188,summoner-24287131,189,Myštić,Challenger,331,88,,108,66
189,summoner-21180291,190,Jollteon,Challenger,330,185,,272,241
190,summoner-31237269,191,IP ZoldieVi,Challenger,330,107,,207,151
191,summoner-39653179,192,C9 Giubi,Challenger,329,72,,235,200
192,summoner-55649332,193,sxzoR,Challenger,327,163,,524,498
193,summoner-23357637,194,CRO WONDERKID,Challenger,327,79,,99,45
194,summoner-21868113,195,SilvenX,Challenger,326,106,,373,335
195,summoner-24133504,196,Kokokomando,Challenger,325,72,,227,196
196,summoner-34256698,197,pàntérra v2,Challenger,324,97,,156,116
197,summoner-24320283,198,Commander Lexa,Challenger,318,55,,173,140
198,summoner-71318597,199,OneLastBreath,Challenger,317,61,,231,177
199,summoner-25837064,200,BIedis,Challenger,300,86,,367,327
200,summoner-311278,201,Savage Pigeon,Master,332,154,,293,258
201,summoner-26990156,202,SIENIOPAS,Master,323,80,,206,180
202,summoner-33015585,203,Wolf and a Lamb,Master,322,104,,225,201
203,summoner-24734846,204,De Grandes,Master,319,67,,137,101
204,summoner-24252613,205,Talkoś,Master,318,64,,136,101
205,summoner-47802316,206,Jôn Snow,Master,316,96,,181,148
206,summoner-19145963,207,BuBBlehun,Master,316,54,,123,78
207,summoner-32277551,208,TL Playmaker,Master,306,167,,673,643
208,summoner-37953579,209,Wieledrog,Master,303,91,,186,150
209,summoner-41232411,210,PASÒK,Master,302,91,,249,181
210,summoner-25874625,211,Túróstészta,Master,293,85,,189,160
211,summoner-43110478,212,Annie IRL,Master,292,170,,403,378
212,summoner-21652445,213,WADOWICKA BESTIA,Master,288,70,,218,143
213,summoner-72505969,214,Pz ΖZang,Master,272,48,,150,83
214,summoner-28984810,215,prodajnica,Master,288,50,,76,40
215,summoner-24399731,216,Filip02,Master,286,107,,292,266
216,summoner-48613864,217,Hi Im Fali,Master,285,85,,276,205
217,summoner-41186365,218,Void Is So Empty,Master,285,138,,209,181
218,summoner-19360640,219,Masochista,Master,285,97,,180,139
219,summoner-69503652,220,Knife Cat 420,Master,280,67,,257,205
220,summoner-29506183,221,16yo ToxicFckboy,Master,278,92,,195,161
221,summoner-54757552,222,DankMilky,Master,276,76,,103,69
222,summoner-24545582,223,váha,Master,272,129,,308,283
223,summoner-69253007,224,Wétru,Master,270,111,,198,168
224,summoner-20779068,225,Vrasta,Master,267,107,,161,127
225,summoner-20093613,226,IS1d30431af74fbd,Master,262,48,,115,87
226,summoner-41865371,227,DarIing,Master,260,65,,234,150
227,summoner-44754808,228,Lolofontello,Master,258,113,,405,382
228,summoner-36915090,229,Grima,Master,257,98,,359,323
229,summoner-57147850,230,ƒrost,Master,255,116,,282,258
230,summoner-33093065,231,EmdielGG,Master,254,107,,381,364
231,summoner-224731,232,niszczyciel,Master,254,63,,140,110
232,summoner-39691163,233,Sha D Clone,Master,253,92,,143,102
233,summoner-38646934,234,Mateusss smurf,Master,252,53,,141,92
234,summoner-41649116,235,Faker Dog v2,Master,252,51,,116,116
235,summoner-30902324,236,Nicram,Master,251,120,,192,169
236,summoner-43363830,237,SunriSSe1,Master,251,141,,132,99
237,summoner-54123780,238,martonbulatko,Master,250,88,,200,166
238,summoner-21776015,239,Twerk For Gank,Master,250,50,,117,73
239,summoner-25469960,240,Stumpybuumer,Master,249,102,,150,120
240,summoner-29954113,241,GodFree,Master,248,118,,226,203
241,summoner-32497639,242,Son Goku,Master,246,84,,212,186
242,summoner-39803017,243,legendari22,Master,244,98,,201,168
243,summoner-24199070,244,zamzu,Master,240,92,,224,186
244,summoner-19986326,245,LordVladimirus,Master,240,74,,196,173
245,summoner-38122606,246,Minmaxer,Master,239,112,,423,400
246,summoner-40227793,247,xLaur13x,Master,239,92,,161,129
247,summoner-26899838,248,Jarzynski,Master,236,140,,224,202
248,summoner-38405754,249,eR Petrásek,Master,234,147,,145,114
249,summoner-60894781,250,kesteen,Master,232,75,,212,163
250,summoner-22030635,251,RossG7,Master,232,109,,157,123
251,summoner-24502829,252,dragonn74,Master,225,102,,426,386
252,summoner-33909458,253,AzianoCZ,Master,225,65,,193,159
253,summoner-42461154,254,iG Dreedy,Master,225,74,,119,103
254,summoner-19867011,255,Sebbedan,Master,224,63,,87,58
255,summoner-42312343,256,Vertí,Master,223,103,,144,112
256,summoner-25984594,257,PRE OmulFinn,Master,222,124,,373,331
257,summoner-44457343,258,115kg MARKSMAN,Master,222,116,,302,269
258,summoner-48285573,259,Frost Edy,Master,219,89,,206,180
259,summoner-49476762,260,Aster,Master,219,83,,191,162
260,summoner-54517674,261,Dexa497,Master,218,57,,102,62
261,summoner-30960083,262,i am flo,Master,218,72,,93,61
262,summoner-73146124,263,Ιcey,Master,216,49,,163,104
263,summoner-43591549,264,Ðexter,Master,215,117,,237,205
