#timestamp 1529928078663
#date 2018-06-25T12:01:18+00:00
#players 1000
#index,id,rank,name,tier,lp,level,proTeam,win,loss
0,summoner-10311062,1,P1xeLG4mer,Challenger,1005,114,,201,92
1,summoner-10351301,2,Dreamwalkér,Challenger,969,52,,149,101
2,summoner-325689,3,SUPRAAAA,Challenger,901,128,,242,186
3,summoner-74922,4,Chewbacca,Challenger,878,74,,198,151
4,summoner-1663635,5,Nerrazuro,Challenger,834,54,,120,80
5,summoner-71826,6,Даниил Фанцест,Challenger,673,85,,91,51
6,summoner-83628,7,bronyaw,Challenger,603,119,,235,193
7,summoner-12401575,8,kapitanpomidor10,Challenger,572,42,,118,42
8,summoner-10410143,9,lllllllllllllll,Challenger,566,64,,234,197
9,summoner-1684814,10,ZakAntihype,Challenger,536,90,,288,256
10,summoner-12561973,11,starlord121,Challenger,511,55,,162,114
11,summoner-2782918,12,Slayer l33t,Challenger,505,60,,140,107
12,summoner-337765,13,Лелуш Британский,Challenger,502,117,,136,111
13,summoner-5340506,14,LCS Ðupliënce,Challenger,472,62,,164,142
14,summoner-14740135,15,Farbenfuchs,Challenger,453,61,,185,96
15,summoner-10841875,16,Ginoragood,Challenger,438,45,,122,66
16,summoner-9630133,17,PoorLostSouls,Challenger,418,60,,128,99
17,summoner-273967,18,Bladesurge,Challenger,417,84,,145,125
18,summoner-9610126,19,Close,Challenger,408,75,,171,136
19,summoner-11960125,20,Sissor,Challenger,404,95,,422,394
20,summoner-12380217,21,Zarackkk IC 1101,Challenger,388,56,,128,117
21,summoner-163588,22,EkleDank,Challenger,352,108,,224,193
22,summoner-14740137,23,MiPadreEsPutin,Challenger,351,62,,208,178
23,summoner-5302220,24,HitomiLove,Challenger,345,107,,128,112
24,summoner-66391,25,Cloud Connected,Challenger,345,149,,119,95
25,summoner-95455,26,Kuroukihime Chan,Challenger,344,127,,162,117
26,summoner-311624,27,Лили Троллдрин,Challenger,340,47,,112,91
27,summoner-314666,28,Loneg,Challenger,337,149,,407,358
28,summoner-3785520,29,PRiNCE Nidhogg,Challenger,334,131,,237,205
29,summoner-67344,30,Noirr,Challenger,340,109,,267,249
30,summoner-952364,31,Dеath Wish,Challenger,337,55,,96,73
31,summoner-312086,32,MachoTomacho,Challenger,312,89,,183,140
32,summoner-1754607,33,H3r3WeG0,Challenger,308,57,,111,94
33,summoner-14730143,34,Bridgeman,Challenger,301,51,,176,131
34,summoner-1228150,35,Eleinoys,Challenger,300,104,,195,170
35,summoner-12841041,36,sikvdilis dghe,Challenger,299,39,,76,31
36,summoner-12533868,37,Polkagrisen,Challenger,296,63,,79,53
37,summoner-164661,38,SeaN014,Challenger,290,103,,74,50
38,summoner-6741509,39,Lil Rick,Challenger,289,162,,119,90
39,summoner-13862615,40,ДмитрийКПСС,Challenger,283,47,,130,85
40,summoner-958893,41,Сашка Слай,Challenger,282,145,,148,129
41,summoner-10641633,42,Драчyн,Challenger,278,92,,121,82
42,summoner-13660224,43,Onetrick Oneshot,Challenger,274,83,,190,115
43,summoner-3310289,44,bak1ajan,Challenger,271,115,,295,293
44,summoner-181688,45,Розовая Орхидея,Challenger,269,144,,247,226
45,summoner-13364441,46,Zihao Uzi Jian,Challenger,266,58,,136,104
46,summoner-1302913,47,Viktor Komarov,Challenger,259,58,,157,125
47,summoner-12530513,48,Tacozzz,Challenger,254,46,,91,49
48,summoner-3753560,49,Kill in second,Challenger,253,58,,75,55
49,summoner-14031330,50,Low Elo Scrub,Challenger,251,49,,153,96
50,summoner-1750440,51,Ира Титаренко,Challenger,257,91,,248,211
51,summoner-3341177,52,Morvan,Challenger,234,137,,390,374
52,summoner-90950,53,Artin,Challenger,232,83,,130,117
53,summoner-1561831,54,x Grizz x,Challenger,225,85,,129,107
54,summoner-483823,55,Ходячий Похмелец,Challenger,221,153,,148,121
55,summoner-3221784,56,ObaN TheDarkneSS,Challenger,214,131,,133,122
56,summoner-2832797,57,Трисс,Challenger,190,149,,367,349
57,summoner-5551394,58,istunltc,Challenger,187,73,,99,91
58,summoner-5293217,59,CoRtez,Challenger,184,38,,48,22
59,summoner-1044769,60,Cэм,Challenger,182,120,,181,163
60,summoner-283953,61,Казахский Лучник,Challenger,178,74,,190,172
61,summoner-493222,62,GottorNiceUIt,Challenger,169,118,,131,122
62,summoner-150200,63,Sаyonara boy,Challenger,164,204,,134,121
63,summoner-955970,64,xDamagerx,Challenger,166,79,,77,61
64,summoner-6020523,65,Zima1347,Challenger,165,64,,188,161
65,summoner-962443,66,SøuL,Challenger,165,98,,94,83
66,summoner-3290397,67,Remains of Life,Challenger,159,80,,117,84
67,summoner-78349,68,Ðead Høpe,Challenger,142,97,,166,140
68,summoner-1643647,69,Coldfeeling,Challenger,157,43,,92,58
69,summoner-11580151,70,Fisha,Challenger,148,68,,215,208
70,summoner-12811045,71,koprtoр,Challenger,111,101,,376,323
71,summoner-2872633,72,Predator Nunu,Challenger,146,162,,191,174
72,summoner-13490667,73,Lesnik iz Latvii,Challenger,158,78,,170,126
73,summoner-313748,74,Ермак,Challenger,124,66,,100,98
74,summoner-517140,75,Vorbex,Challenger,120,148,,434,407
75,summoner-12533283,76,youkknowwho,Challenger,120,47,,95,78
76,summoner-14740136,77,FemdomJanna,Challenger,120,44,,88,57
77,summoner-12671438,78,Jack Sparrоw,Challenger,107,66,,91,61
78,summoner-121593,79,Gentleman Jhin,Challenger,105,211,,135,117
79,summoner-950293,80,no vision GG,Challenger,103,109,,163,152
80,summoner-9090175,81,Veronica Maggio,Challenger,100,97,,399,387
81,summoner-265399,82,ЕгоLLIkoльница,Challenger,97,176,,169,129
82,summoner-256015,83,MostWilded,Challenger,95,122,,203,178
83,summoner-5170161,84,CALLING DESTINY,Challenger,111,48,,104,96
84,summoner-6171068,85,2 Axes 1 Draven,Challenger,92,89,,137,127
85,summoner-1770259,86,Сэр Нидали Син,Challenger,91,69,,141,87
