#timestamp 1529722801847
#date 2018-06-23T03:00:01+00:00
#players 1000
#index,id,rank,name,tier,lp,level,proTeam,win,loss
0,summoner-37802452,1,Kirei sama,Challenger,1271,116,,676,581
1,summoner-19160377,2,S04 Upset,Challenger,1251,110,,434,342
2,summoner-22633277,3,VGIA Yoppa,Challenger,1242,140,,590,510
3,summoner-23735326,4,VGIA Razørk,Challenger,1142,116,,395,312
4,summoner-22331014,5,mouz Gistick,Challenger,1124,100,,309,233
5,summoner-21999355,6,Exileh,Challenger,1095,118,,436,367
6,summoner-79987074,7,OOB Ayunie,Challenger,1081,64,,260,189
7,summoner-100017228,8,BLACKPINKFAN,Challenger,1038,64,,256,183
8,summoner-105996852,9,Euntoro,Challenger,990,114,,557,461
9,summoner-33447246,10,harry kane smurf,Challenger,983,63,,269,185
10,summoner-43573667,11,MSF xKenzuke,Challenger,977,144,,693,626
11,summoner-71136981,12,MagiFaker,Challenger,963,68,,159,97
12,summoner-56236881,13,Kaos Malthael,Challenger,941,79,,185,99
13,summoner-35432335,14,Kaostanza AoD,Challenger,922,99,,292,239
14,summoner-84077683,15,it is destiny,Challenger,922,60,,198,144
15,summoner-29935644,16,Abbedagge1,Challenger,918,98,,393,331
16,summoner-46088149,17,BIG Don Arts,Challenger,890,162,,748,658
17,summoner-34148603,18,EikaHoon,Challenger,885,147,,662,599
18,summoner-44635060,19,MagiFelix,Challenger,884,45,,119,56
19,summoner-34428877,20,FNC Bwipo,Challenger,882,120,,438,382
20,summoner-99996851,21,HWA Armut,Challenger,852,76,,213,163
21,summoner-20717177,22,FNC Rekkles,Challenger,842,122,,595,545
22,summoner-21112739,23,HWA telracS,Challenger,836,55,,152,92
23,summoner-19652383,24,H0lyPhoenix,Challenger,817,87,,370,307
24,summoner-43541239,25,Hyyyyyy,Challenger,804,108,,356,269
25,summoner-103720751,26,Thebausffs,Challenger,802,66,,283,192
26,summoner-21045313,27,Mikyx,Challenger,790,102,,438,338
27,summoner-29776827,28,MagiFelixx,Challenger,789,108,,463,402
28,summoner-96627066,29,felØ de se,Challenger,783,93,,420,363
29,summoner-22154740,30,styllEE,Challenger,782,78,,301,251
30,summoner-23627306,31,xL Send0o,Challenger,775,72,,244,187
31,summoner-21528940,32,MRS Finn,Challenger,771,111,,436,377
32,summoner-23717140,33,WooIite,Challenger,759,71,,231,161
33,summoner-40219771,34,M Human0id,Challenger,757,109,,390,341
34,summoner-19045442,35,DCG Fakelove,Challenger,755,115,,371,323
35,summoner-86259309,36,Jeff Atkins,Challenger,742,98,,360,308
36,summoner-22017510,37,shiber,Challenger,741,67,,170,108
37,summoner-26499571,38,Chíbs,Challenger,733,135,,669,603
38,summoner-49276837,39,S1 Hades,Challenger,730,88,,225,164
39,summoner-28547984,40,WAR Dan,Challenger,729,59,,152,104
40,summoner-96868390,41,i need doctor,Challenger,728,91,,370,304
41,summoner-22927914,42,Jiren Mid,Challenger,726,83,,196,141
42,summoner-29205354,43,Never True,Challenger,704,101,,577,503
43,summoner-53116940,44,BOLULU,Challenger,702,121,,389,337
44,summoner-105986828,45,fndls1,Challenger,702,67,,232,181
45,summoner-34558312,46,Novachrono,Challenger,701,117,,428,375
46,summoner-104846794,47,BrokenBladeˉ,Challenger,695,48,,161,76
47,summoner-23441464,48,AHG Murmel,Challenger,694,101,,301,256
48,summoner-19017368,49,ScarletRedHands,Challenger,692,68,,204,157
49,summoner-86797333,50,ROX Zanzarah,Challenger,688,93,,451,388
50,summoner-95206795,51,FNC Caps1,Challenger,683,143,,619,572
51,summoner-46517338,52,SPY kaSing,Challenger,683,122,,471,423
52,summoner-20181136,53,BIG Kruimel,Challenger,680,119,,425,367
53,summoner-90786998,54,Ev3lynnK1D,Challenger,674,94,,353,300
54,summoner-98567102,55,Dont touch doggo,Challenger,673,54,,167,120
55,summoner-105248387,56,Hildadet,Challenger,672,59,,182,99
56,summoner-93737608,57,WeiZoR,Challenger,670,95,,280,227
57,summoner-85861691,58,Reductionism,Challenger,665,51,,159,94
