#timestamp 1529949675139
#date 2018-06-25T18:01:15+00:00
#players 1000
#index,id,rank,name,tier,lp,level,proTeam,win,loss
0,summoner-10311062,1,P1xeLG4mer,Challenger,1005,114,,201,92
1,summoner-10351301,2,Dreamwalkér,Challenger,969,52,,149,101
2,summoner-325689,3,SUPRAAAA,Challenger,901,128,,242,186
3,summoner-74922,4,Chewbacca,Challenger,878,74,,198,151
4,summoner-1663635,5,Nerrazuro,Challenger,834,54,,120,80
5,summoner-71826,6,Даниил Фанцест,Challenger,673,85,,91,51
6,summoner-83628,7,bronyaw,Challenger,603,119,,235,193
7,summoner-12401575,8,kapitanpomidor10,Challenger,572,42,,118,42
8,summoner-10410143,9,lllllllllllllll,Challenger,566,64,,234,197
9,summoner-1684814,10,ZakAntihype,Challenger,550,90,,289,256
10,summoner-12561973,11,starlord121,Challenger,511,55,,162,114
11,summoner-2782918,12,Slayer l33t,Challenger,505,60,,140,107
12,summoner-337765,13,Лелуш Британский,Challenger,502,117,,136,111
13,summoner-5340506,14,LCS Ðupliënce,Challenger,472,62,,164,142
14,summoner-14740135,15,Farbenfuchs,Challenger,453,61,,185,96
15,summoner-10841875,16,Ginoragood,Challenger,438,45,,122,66
16,summoner-273967,17,Bladesurge,Challenger,417,86,,145,125
17,summoner-9610126,18,Close,Challenger,408,75,,171,136
18,summoner-11960125,19,Sissor,Challenger,404,95,,422,394
19,summoner-12380217,20,Zarackkk IC 1101,Challenger,385,56,,128,117
20,summoner-9630133,21,PoorLostSouls,Challenger,383,60,,128,101
21,summoner-952364,22,Dеath Wish,Challenger,382,56,,99,74
22,summoner-163588,23,EkleDank,Challenger,387,109,,226,193
23,summoner-95455,24,Kuroukihime Chan,Challenger,365,127,,163,117
24,summoner-14740137,25,MiPadreEsPutin,Challenger,353,62,,210,180
25,summoner-5302220,26,HitomiLove,Challenger,345,107,,128,112
26,summoner-66391,27,Cloud Connected,Challenger,345,149,,119,95
27,summoner-311624,28,Лили Троллдрин,Challenger,340,47,,112,91
28,summoner-314666,29,Loneg,Challenger,337,149,,407,358
29,summoner-3785520,30,PRiNCE Nidhogg,Challenger,334,131,,237,205
30,summoner-12533868,31,Polkagrisen,Challenger,333,63,,81,53
31,summoner-1754607,32,H3r3WeG0,Challenger,327,57,,112,94
32,summoner-67344,33,Noirr,Challenger,322,109,,267,250
33,summoner-1228150,34,Eleinoys,Challenger,317,104,,196,170
34,summoner-312086,35,MachoTomacho,Challenger,293,89,,184,142
35,summoner-6741509,36,Lil Rick,Challenger,309,162,,120,90
36,summoner-14730143,37,Bridgeman,Challenger,319,51,,177,131
37,summoner-12841041,38,sikvdilis dghe,Challenger,299,39,,76,31
38,summoner-164661,39,SeaN014,Challenger,290,103,,74,50
39,summoner-13862615,40,ДмитрийКПСС,Challenger,283,47,,130,85
40,summoner-958893,41,Сашка Слай,Challenger,282,145,,148,129
41,summoner-10641633,42,Драчyн,Challenger,278,92,,122,83
42,summoner-3310289,43,bak1ajan,Challenger,271,115,,295,293
43,summoner-13660224,44,Onetrick Oneshot,Challenger,262,83,,190,116
44,summoner-3753560,45,Kill in second,Challenger,253,58,,75,55
45,summoner-181688,46,Розовая Орхидея,Challenger,251,144,,248,228
46,summoner-14031330,47,Low Elo Scrub,Challenger,251,49,,153,96
47,summoner-13364441,48,Zihao Uzi Jian,Challenger,245,58,,136,105
48,summoner-12530513,49,Tacozzz,Challenger,244,46,,91,50
49,summoner-1750440,50,Ира Титаренко,Challenger,239,91,,248,212
50,summoner-1302913,51,Viktor Komarov,Challenger,236,58,,158,128
51,summoner-3341177,52,Morvan,Challenger,234,137,,390,374
52,summoner-483823,53,Ходячий Похмелец,Challenger,237,153,,149,121
53,summoner-90950,54,Artin,Challenger,217,83,,130,118
54,summoner-3221784,55,ObaN TheDarkneSS,Challenger,214,131,,134,123
55,summoner-283953,56,Казахский Лучник,Challenger,212,74,,192,172
56,summoner-1561831,57,x Grizz x,Challenger,212,85,,129,108
57,summoner-1044769,58,Cэм,Challenger,199,120,,182,163
58,summoner-5551394,59,istunltc,Challenger,187,73,,99,91
59,summoner-5293217,60,CoRtez,Challenger,184,38,,48,22
60,summoner-2832797,61,Трисс,Challenger,173,149,,368,351
61,summoner-955970,62,xDamagerx,Challenger,170,79,,79,63
62,summoner-493222,63,GottorNiceUIt,Challenger,169,118,,131,122
63,summoner-78349,64,Ðead Høpe,Challenger,168,97,,168,141
64,summoner-6020523,65,Zima1347,Challenger,165,64,,188,161
65,summoner-150200,66,Sаyonara boy,Challenger,162,206,,135,122
66,summoner-3290397,67,Remains of Life,Challenger,159,80,,117,84
67,summoner-13490667,68,Lesnik iz Latvii,Challenger,158,78,,170,126
68,summoner-1643647,69,Coldfeeling,Challenger,157,43,,92,58
69,summoner-2872633,70,Predator Nunu,Challenger,146,162,,191,174
70,summoner-11580151,71,Fisha,Challenger,126,69,,216,210
71,summoner-962443,72,SøuL,Challenger,144,98,,94,84
72,summoner-5170161,73,CALLING DESTINY,Challenger,128,48,,105,96
73,summoner-313748,74,Ермак,Challenger,124,66,,100,98
74,summoner-517140,75,Vorbex,Challenger,120,148,,434,407
75,summoner-12533283,76,youkknowwho,Challenger,120,47,,95,78
76,summoner-14740136,77,FemdomJanna,Challenger,120,44,,88,57
77,summoner-950293,78,no vision GG,Challenger,119,111,,164,152
78,summoner-1410266,79,пусто,Challenger,111,123,,66,53
79,summoner-12671438,80,Jack Sparrоw,Challenger,107,66,,91,61
80,summoner-121593,81,Gentleman Jhin,Challenger,105,211,,135,117
81,summoner-13441988,82,Woofer,Challenger,102,71,,280,242
82,summoner-9090175,83,Veronica Maggio,Challenger,100,97,,399,387
83,summoner-101936,84,Hate Junglers,Challenger,96,82,,191,179
84,summoner-256015,85,MostWilded,Challenger,95,122,,203,178
85,summoner-1770259,86,Сэр Нидали Син,Challenger,91,69,,141,87
