#timestamp 1530252027533
#date 2018-06-29T06:00:27+00:00
#players 1000
#index,id,rank,name,tier,lp,level,proTeam,win,loss
0,summoner-96059078,1,sorry my bad xd,Challenger,1300,43,,123,54
1,summoner-91909115,2,tarzaned2,Challenger,1149,75,,358,256
2,summoner-24220969,3,thtr,Challenger,1058,92,,358,298
3,summoner-87439213,4,ìnori,Challenger,1055,119,,345,279
4,summoner-96629156,5,FOX Damonte,Challenger,1011,45,,138,88
5,summoner-35097344,6,duoking1,Challenger,943,71,,246,177
6,summoner-91739120,7,Play for KDA,Challenger,938,60,,208,145
7,summoner-75900909,8,GGEA Neøø,Challenger,933,142,,306,245
8,summoner-22670229,9,Shout,Challenger,933,89,,298,237
9,summoner-48193601,10,Spica1,Challenger,941,82,,238,171
10,summoner-19839806,11,blaberfish2,Challenger,921,110,,401,321
11,summoner-34925733,12,CG Solo,Challenger,918,83,,307,246
12,summoner-21193669,13,Hakuho,Challenger,892,89,,259,200
13,summoner-83339123,14,Humble Diligent,Challenger,889,84,,350,294
14,summoner-65389099,15,Liquid Impact,Challenger,881,73,,247,185
15,summoner-71229345,16,divided jungle,Challenger,837,67,,248,195
16,summoner-25108893,17,CptShrimps,Challenger,833,102,,584,526
17,summoner-24326160,18,Sweaty ASol,Challenger,843,75,,264,208
18,summoner-19967304,19,Shiphtur,Challenger,809,155,,947,905
19,summoner-21367804,20,Cris,Challenger,785,62,,217,159
20,summoner-38375098,21,Jurassiq,Challenger,804,82,,308,258
21,summoner-68401488,22,5tunt,Challenger,800,81,,242,190
22,summoner-91419120,23,TSM Zven,Challenger,780,108,,501,418
23,summoner-92959312,24,IlIlIllllIIIIIII,Challenger,781,50,,146,109
24,summoner-27251616,25,ULookSoCharming,Challenger,771,111,,331,282
25,summoner-87330006,26,Yusuiˉ,Challenger,763,69,,187,127
26,summoner-21276764,27,Vulcan1,Challenger,739,116,,399,346
27,summoner-38809624,28,Sophist Sage,Challenger,725,122,,573,521
28,summoner-94060086,29,TwTv LoLHarambe,Challenger,733,74,,381,306
29,summoner-19587365,30,Tony Top,Challenger,703,108,,468,428
30,summoner-83089575,31,Ssumdayday,Challenger,689,69,,242,190
31,summoner-20156599,32,Carmen Campagne,Challenger,685,76,,159,110
32,summoner-23368264,33,Tracy Mcgràdy,Challenger,684,52,,133,80
33,summoner-68479082,34,a new beginning,Challenger,678,109,,360,317
34,summoner-95119178,35,WPI 3970,Challenger,671,45,,135,85
35,summoner-65409096,36,crow5,Challenger,663,74,,268,211
36,summoner-22946266,37,GaoGao,Challenger,662,74,,140,93
37,summoner-21371454,38,ScrubNoob,Challenger,661,116,,401,344
38,summoner-170340,39,Cody Sun,Challenger,660,128,,465,432
39,summoner-23715786,40,KitKatxz,Challenger,660,62,,193,153
40,summoner-21202019,41,5fire,Challenger,653,92,,206,160
41,summoner-35409134,42,Srkenji,Challenger,647,118,,451,396
42,summoner-21542029,43,Grig1,Challenger,663,101,,342,302
43,summoner-25401864,44,Credenda,Challenger,642,54,,186,98
44,summoner-37481045,45,insanityxxx,Challenger,641,161,,539,491
45,summoner-22275443,46,TCLB ZzeR,Challenger,641,65,,275,185
46,summoner-95429143,47,ESKEET1T,Challenger,640,45,,118,88
47,summoner-22141445,48,SandPaperX,Challenger,639,90,,263,222
48,summoner-38880034,49,Soligo,Challenger,639,61,,177,131
49,summoner-19770082,50,Criś,Challenger,637,142,,465,425
50,summoner-68469257,51,Azures,Challenger,631,118,,457,414
51,summoner-22830349,52,RF Legendary,Challenger,649,78,,301,246
52,summoner-26045266,53,TàIon,Challenger,630,86,,233,172
53,summoner-86912471,54,Nugeek,Challenger,623,67,,253,213
54,summoner-19920510,55,Sudzzi,Challenger,614,87,,345,302
